Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Bhargava, P.M., Siddiqui, M.A., Kumar, G.K., Prasad, K.S.N.","Effect of cell concentration on the uptake of amino acids by rat liver parenchymal cells in suspension",1975,"The Journal of Membrane Biology","22","1",,"357","368",,4,10.1007/BF01868180,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016707022&partnerID=40&md5=ebada5de3a6c382035dcdc84d3b6dbcb","Regional Research Laboratory, Hyderabad, 500009, India","Bhargava, P.M., Regional Research Laboratory, Hyderabad, 500009, India; Siddiqui, M.A., Regional Research Laboratory, Hyderabad, 500009, India; Kumar, G.K., Regional Research Laboratory, Hyderabad, 500009, India; Prasad, K.S.N., Regional Research Laboratory, Hyderabad, 500009, India","The accumulation of several amino acids in the acid-soluble fraction and their incorporation into protein in rat liver parenchymal cell suspensions, has been shown to depend on the concentration of cells in the incubation medium; the uptake, both in the acid-soluble and the acid-insoluble fractions, decreased as the cell concentration increased from 0.03×106 cells/ml upwards, reaching a plateau at high cell concentrations (3-5×106 cells/ml). The uptake values at high cell concentrations were the same as those obtained in liver slices in which a similar effect was not observed. Evidence is presented which suggests that this phenomenon is mediated by a material released from the cells in suspension, which is inhibitory to enhancement of the uptake of amino acids by these cells over and above the value obtained in normal, adult liver slices. © 1975 Springer-Verlag New York Inc.",,"radioisotope; amino acid h 3; histidine c 14; in vitro study; liver cell; liver slice; rat; theoretical study; Amino Acids; Animal; Cell Count; Histidine; In Vitro; Leucine; Liver; Lysine; Phenylalanine; Proteins; Rats",,"Amino Acids; Histidine, 71-00-1; Leucine, 61-90-5; Lysine, 56-87-1; Phenylalanine, 63-91-2; Proteins",,,,"Bellanger, F., Harel, L., Interactions entre cellules. Mise en evidence d'un inhibiteur de la synthese proteique diffusant dans des cellules incubees en concentrations elevees (1969) Compt. Rend. Acad. Sci. Paris, 269, p. 113; Bhargava, K., Bhargava, P.M., The incorporation of labelled aminoacids into the proteins of liver cells in suspension (1962) Life Sci., 1, p. 477; Bhargava, P.M., Bishop, M.W.H., Work, T.S., Incorporation of14C-aminoacids into the proteins of bull spermatozoa (1959) Biochem. J., 73, p. 247; Blade, E., Blat, C., Harel, L., Interaction entre cellules. II. Variation du transport actif des acides amines en fonction de la concentration en cellules (1968) Biochimica et Biophysica Acta (BBA) - General Subjects, 156, p. 157; Blade, E., Harel, L., Incorporation du phosphore dans les cellules d'ascites tumorales en fonction de leurs concentrations (1965) Compt. Rend. Acad. Sci. Paris, 260, p. 6464; Blade, E., Harel, L., Interaction entre cellules. I. Influence de la concentrations en cellules sur l'accumulation des acides amines et la synthese proteique (1968) Biochimica et Biophysica Acta (BBA) - General Subjects, 156, p. 148; Blade, E., Harel, L., Hanania, N., Variation du taux d'incorporation du phosphore dans des cellules en fonction de leurs concentrations et inhibition de contact (1966) Experimental Cell Research, 41, p. 473; Cass, C.E., Density dependent resistance to puromycin in cell cultures (1972) J. Cell Physiol., 79, p. 139; Dawson, R.M.C., Elliott, D.C., Elliott, W.H., Jones, K.M., (1959) Data for Biochemical Research, p. 208. , Oxford University Press, London; Dickson, J.A., The uptake of nonmetabolizable aminoacids as an index of cell viability in vitro (1970) Exp. Cell Res., 61, p. 235; Friedmann, T., Epstein, C.J., The incorporation of3H-leucine into protein by tetraphenylboron and citrate-dispersed rat liver parenchymal cells (1967) Biochim. Biophys. Acta, 138, p. 622; Iype, P.T., Bhargava, P.M., Tasker, A.D., Some aspects of the chemical and cellular composition of adult rat liver (1965) Exp. Cell Res., 40, p. 233; Jacob, S.T., Bhargava, P.M., A new method for the preparation of liver cell suspensions (1962) Exp. Cell Res., 27, p. 453; Jezyk, P.F., Liberti, J.P., Metabolic activities of mechanically and enzymatically prepared rat liver cells (1969) Arch. Biochem. Biophys., 134, p. 442; Kumar, G.K., Bhargava, P.M., Comparison of some permeability properties of rat liver slices, liver cells in suspension, and in vivo-produced aggregates of dispersed liver cells (1975) J. Membrane Biol., 22, p. 329; Lederer, E., Lederer, M., (1954) Chromatography, p. 197. , Elsevier Publishing Co., Amsterdam; Lowry, O.H., Rosebrough, N.J., Farr, A.L., Randall, R.J., Protein measurement with the Folin phenol reagent (1951) J. Biol. Chem., 193, p. 265; Moore, S., Stein, W.H., Photometric ninhydrin method for use in the chromatography of aminoacids (1948) J Biol Chem, 176, p. 367; Umbreit, W.W., Burris, R.H., Stauffer, J.F., (1949) Manometric Techniques and Tissue Metabolism, p. 119. , Burgess Publishing Co., Minneapolis, Minn; Whitfield, J.F., Rixon, R.H., The effect of dilution and carbon dioxide on the metabolic properties of suspension cultures of strain L mouse cells (1961) Exp. Cell Res., 24, p. 177","Bhargava, P.M.; Regional Research Laboratory, Hyderabad, 500009, India",,,"Springer-Verlag",,,,,00222631,,JMBBB,1159782,"English","J. Membrain Biol.",Article,Scopus,2-s2.0-0016707022
"Hussain, L.F., Bhargava, P.M.","Liver cells in suspension synthesize but do not secrete the newly synthesized serum albumin",1974,"Archives of Biochemistry and Biophysics","161","1",,"153","160",,4,10.1016/0003-9861(74)90245-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015972911&partnerID=40&md5=43160f84a73bcedd1771e991ecd973a1","Regional Research Laboratory, Hyderabad, 500009, India","Hussain, L.F., Regional Research Laboratory, Hyderabad, 500009, India; Bhargava, P.M., Regional Research Laboratory, Hyderabad, 500009, India","Rat liver cells in suspension, prepared in high yields by a mechanical dispersion method, have been shown to incorporate labeled amino acids into serum albumin at a rate comparable to that obtained in slices from unperfused or citrate-perfused liver over a 2-hr period. However, while in the two types of slices, on an average, 89% of the newly synthesized albumin is secreted into the medium in 2 hr, in the cell suspensions only 9% is secreted; the block to secretion in the cell suspension is confined only to albumin synthesized after dispersion of the tissue, and does not extend equally either to albumin synthesized prior to dispersion of the tissue to a single cell suspension, or to other proteins synthesized in the cell suspensions. © 1974.",,"albumin; in vitro study; liver; rat; serum; theoretical study",,,,,,"LePage, (1952) Cancer Res, 12, p. 277; LePage, (1953) Cancer Res, 13, p. 178; Bhargava, Bhargava, (1962) Life Sci, 1, p. 477; Inoue, Husokawa, Takeda, (1965) Biochim. Biophys. Acta, 103, p. 128; T'sai, Best, Ebner, Retention of lactate dehydrogenase cortisol binding and lack of enzyme induction in rat liver cell suspensions (1966) Experimental Cell Research, 44, p. 332; Friedman, Epstein, The incorporation of [3H]leucine into protein by tetraphenylboron- and citrate-dispersed rat liver parenchymal cells (1967) Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis, 138, p. 622; Castagna, Chauveau, (1969) Exp. Cell Res, 57, p. 211; Jezyk, Liberti, (1969) Arch. Biochem. Biophys, 134, p. 442; Casanello, Gerschenson, (1970) Exp. Cell Res, 59, p. 283; Dickson, (1971) Exp. Cell Res, 64, p. 17; Lipson, Capuzzi, Margolis, (1972) J. Cell Sci, 10, p. 167; Muller, Schreiber, Kartenbeck, Schreiber, (1972) Cancer Res, 32, p. 2568; Haung, Ebner, (1969) Biochim. Biophys. Acta, 191, p. 161; Burton, Collins, Porter, (1969) J. Biol. Chem, 244, p. 1076; Wiegand, Muller, Urban, Schreiber, Intact endoplasmic reticulum and albumin synthesis in rat liver cell suspensions (1971) Experimental Cell Research, 67, p. 27; Capuzzi, Rothman, Margolis, (1971) Biochem. Biophys. Res. Commun, 45, p. 421; Schreiber, Schreiber, (1972) J. Biol. Chem, 247, p. 6340; Ingebretsen, Jr., Wagle, (1972) Biochem. Biophys. Res. Commun, 47, p. 403; Ingebretsen, Jr., Wagle, (1972) Biochem. Biophys. Res. Commun, 49, p. 601; East, Louis, Hoffenberg, (1973) Expt. Cell Res, 76, p. 41; Jacob, Bhargava, (1962) Exp. Cell Res, 27, p. 453; Pertoft, (1969) Exp. Cell Res, 57, p. 338; apGwynn, Jones, Jones, Kemp, (1970) Cytobios, 2, p. 181; Suzangar, Dickson, (1970) Exp. Cell Res, 63, p. 353; Crisp, Pogson, (1972) Biochem. J, 126, p. 1009; Dawson, Elliot, Elliot, Jones, (1959) Data for Biochemical Research, p. 208. , Oxford University Press, London; Marsh, Drabkin, Metabolic channeling in experimental nephrosis. IV. Net synthesis of plasma albumin by liver slices from normal and nephrotic rats. (1958) J Biol Chem, 230, p. 1073; Adair, Robinson, (1930) Biochem. J, 24, p. 293; Grabar, Williams, (1955) Biochim. Biophys. Acta, 17, p. 67; Lowry, Rosebrough, Farr, Randall, (1951) J. Biol. Chem, 193, p. 965; Jacob, Bhargava, Effect of chloramphenicol on ribonucleic acid synthesis in liver cells in suspension. (1965) Biochem J, 97, p. 67; Debro, Tarver, Korner, (1959) J. Lab. Clin. Med, 50, p. 728; Geller, Judah, Nicholls, (1972) Biochem. J, 127, p. 865; Branster, Morton, (1957) Nature (London), 180, p. 1283; Iype, Bhargava, Tasker, Some aspects of the chemical and cellular composition of adult rat liver (1965) Experimental Cell Research, 40, p. 238; Peters, Jr., Anfinsen, (1950) J. Biol. Chem, 186, p. 805; Peters, Jr., (1953) J. Biol. Chem, 200, p. 401; Campbell, (1955) Biochem. J, 61, p. 496; Campbell, Stone, (1957) Biochem. J, 66, p. 19; Wise, Oliver, Plasma albumin synthesis during neonatal development of the rat. (1967) Biochem J, 102, p. 760; Peters, Jr., Anfinsen, (1950) J. Biol. Chem, 182, p. 171; Peters, Jr., (1957) J. Biol. Chem, 129, p. 659; Peters, Jr., Danzi, Ashley, (1968) Fed. Proc. Fed. Amer. Soc. Exp. Biol, 27, p. 775. , 3rd ed; Judah, Nicholls, (1970) Biochem. J, 116, p. 663; Rotermund, Schreiber, Maeno, Weissen, Weigand, (1970) Cancer Res, 30, p. 2139; Oler, Lombardi, (1970) J. Biol. Chem, 245, p. 1282; Glaumann, Ericsson, (1970) J. Cell Biol, 47, p. 555; Babad, Ben-Zvi, Bdolah, Schramm, (1967) Eur. J. Biochem, 1, p. 96; Bhargava, (1968) Science and Culture, 34, p. 105; Bhargava, (1970) Control Processes in Multicellular Organisms, p. 158. , G.E.W. Wolstenholme, J. Knight, Churchill, London","Hussain, L.F.; Regional Research Laboratory, Hyderabad, 500009, India",,,,,,,,00039861,,ABBIA,,"English","Arch. Biochem. Biophys.",Article,Scopus,2-s2.0-0015972911
"Premkumar, E., Bhargava, P.M.","Isolation and characterization of newly synthesized RNA and protein in mature bovine spermatozoa and effect of inhibitors on these syntheses",1973,"Indian Journal of Biochemistry and Biophysics","10","4",,"239","253",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015700633&partnerID=40&md5=45b25f754c32573728e65c4ef954cb34","Reg. Res. Lab., Hyderabad, India","Premkumar, E., Reg. Res. Lab., Hyderabad, India; Bhargava, P.M., Reg. Res. Lab., Hyderabad, India","Freshly ejaculated mature bovine spermatozoa, freed of seminal plasma, were shown to synthesize RNAs which resemble bacterial rRNAs and tRNA, and a 16 S RNA which is not rRNA (16 S non rRNA). From the behaviour of the newly synthesized RNA in 4 commonly used fractionation systems, its hybridization with somatic cell, nuclear and miltochondrial DNAs, and the effect of drugs on its synthesis, it is concluded that the RNAs synthesized by spermatozoa are transcription products of their mitochondrial DNA. The 16 S non rRNA is found to be the most susceptible to degradation. The spermatozoa were shown to synthesize only a small number of proteins, probably only 5, all on a mitochondrial RNA template. The results show that in bovine spermatozoa, transcription and translation are largely, if not exclusively, confined to the mitochondrial DNA.",,"acriflavine; bentonite; bovine serum albumin; chloramphenicol; cycloheximide; dactinomycin; mimosine; penicillin g; protein; puromycin; radioisotope; rifampicin; rna; sodium chloride; cattle; drug analysis; drug determination; drug protein binding; drug structure; escherichia coli; ethidium chloride; in vitro study; microorganism; mitochondrion; pharmacokinetics; polyvinyl sulfate; sperm; spermatozoon; theoretical study; Animal; Antibiotics; Cattle; Depression, Chemical; DNA; DNA, Mitochondrial; Male; Nucleic Acid Hybridization; Phosphorus Radioisotopes; Proteins; RNA; Spermatozoa; Transcription, Genetic; Translation, Genetic",,"acriflavine, 65431-33-6, 65589-70-0, 68518-47-8, 69235-50-3, 8018-07-3, 86-40-8; bentonite, 1302-78-9; chloramphenicol, 134-90-7, 2787-09-9, 56-75-7; cycloheximide, 642-81-9, 66-81-9; dactinomycin, 1402-38-6, 1402-58-0, 50-76-0; mimosine, 500-44-7; penicillin G, 1406-05-9, 61-33-6; protein, 67254-75-5; puromycin, 53-79-2, 58-58-2; rifampicin, 13292-46-1; RNA, 63231-63-0; sodium chloride, 7647-14-5; Antibiotics; DNA, 9007-49-2; DNA, Mitochondrial; Phosphorus Radioisotopes; Proteins; RNA, 63231-63-0",,"lepetit, France; bhabha, India; parke davis, India; calbiochem, United States; denver fire clay, United States; sigma, United States; central drug res.",,,,,,,,,,,03011208,,IJBCA,4792940,"English","INDIAN J.BIOCHEM.BIOPHYS.",Article,Scopus,2-s2.0-0015700633
"Kumar, B.V., Bhargava, P.M.","The effect of ribonuclease on rat-liver parenchymal cells in suspension",1973,"Biochimie","55","6-7",,"661","670",,1,10.1016/S0300-9084(73)80019-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015792553&partnerID=40&md5=0113acda698abe323ba869f4a26fe573","Regional Research Laboratory, Hyderabad-9, A.P., India","Kumar, B.V., Regional Research Laboratory, Hyderabad-9, A.P., India; Bhargava, P.M., Regional Research Laboratory, Hyderabad-9, A.P., India","Summaryo1.Rat-liver parenchymal cells in suspension have been shown to take up 131I-ribonuclease.2.The nuclease taken up degrades up to 40 p. cent of the cellular RNA to acid-soluble material; this RNA appears different from the RNA degraded by the endogenous nuclease activated on dispersion of liver tissue to a single cell suspension and incubation at 37°C.3.The ribonuclease taken up at 28°C, partially depolymerises cellular rRNA in such a way that the overall structural integrity or the biological activity of the ribosomes not affected; cellular tRNA activity also is not affected. © 1973.",,"ribonuclease; in vitro study; liver; parenchyma; rat; theoretical study; Animal; Centrifugation, Density Gradient; Iodine Radioisotopes; Kinetics; Liver; Phosphorus Radioisotopes; Poly U; Rats; Ribonucleases; Ribosomes; RNA; RNA, Ribosomal; RNA, Transfer; Structure-Activity Relationship; Sucrose; Temperature",,"ribonuclease, 59794-03-5, 9001-99-4; Iodine Radioisotopes; Phosphorus Radioisotopes; Poly U, 27416-86-0; Ribonucleases, EC 3.1.-; RNA, 63231-63-0; RNA, Ribosomal; RNA, Transfer, 9014-25-9; Sucrose, 57-50-1",,,,"Brachet, (1955) Biochim. Biophys. Acta, 18, pp. 247-268; Schumaker, (1958) Exptl. Cell Res., 15, pp. 314-331; Alper, Dainko, Schlenk, (1967) J. Bact., 93, pp. 759-765; Brenner, The effects of ribonuclease and deoxyribonuclease on bacteriophage formation in protoplasts of Bacillus megaterium (1959) Biochimica et Biophysica Acta, 18, pp. 531-534; Bridoux, Hanotier, (1956) Biochim. Biophys. Acta, 22, pp. 103-110; Thomson, Shively, (1966) J. Bact., 91, pp. 673-676; Brachet, (1955) Biochim. Biophys. Acta, 16, pp. 611-613; Ledoux, Leclerc, Vanderhaeghe, (1954) Nature, 174, pp. 793-794; Huppert, Pelmont, (1962) Arch. Biochem. Biophys., 98, pp. 214-223; Halder, Freeman, Work, (1967) Biochem. J., 102, pp. 684-690; Shakulov, Aitkhozhin, Spirin, (1962) Biokhimiya (USSR), 27, pp. 631-636. , English translation; Gierer, (1963) J. Mol. Biol., 6, pp. 148-157; Santer, Smith, (1966) J. Bact., 92, pp. 1099-1110; Cox, (1969) Biochem. J., 114, pp. 753-767; Chan, Schachter, Rich, Polypeptide synthesis with ribonuclease-digested ribosomes (1970) Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis, 209, pp. 512-520; Delihas, (1970) Biochem. Biophys. Res. Commun., 39, pp. 905-910; Huvos, Vereezkey, Gaal, (1970) Biochem. Biophys. Res. Commun., 41, pp. 1020-1026; Kumar, Bhargava, (1969) Life Sci., 8, pp. 1103-1109; Kumar, Bhargava, (1972) J. Cellul. Physiol., 80, pp. 175-188; Jacob, Bhargava, (1962) Exptl. Cell Res., 27, pp. 453-467; Raj, Premsagar, Rao, (1968) Biochem. Biophys. Res. Commun., 31, pp. 723-730; Arlinghaus, Schaffer, Schweet, (1964) Proc. Natl. Acad. Sci., 51, pp. 1291-1299; Tashiro, Siekevitz, (1965) J. Mol. Biol., 11, pp. 149-165; Bhargava, Pallaiah, Premkumar, (1970) J. Theoret. Biol., 29, pp. 447-469; Bhargava, (1968) Science and Culture (Calcutta), 34, pp. 105-127. , (suppl.); Bhargava, (1970) «Control processes in Multicellular Organisms, pp. 158-177. , G.E.W. Wolstenholme, J. Knight, J. & A. Churchill, U.S.A; Dickson, (1970) Exptl. Cell Res., 61, pp. 235-245; Krantikumar, G. & Bhargava, P. M., in preparation","Kumar, B.V.",,,,,,,,03009084,,BICMB,4797820,"English","Biochimie",Article,Scopus,2-s2.0-0015792553
"Premkumar, E., Bhargava, P.M.","Transcription and translation in bovine spermatozoa.",1972,"Nature: New biology","240","100",,"139","143",,35,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015528963&partnerID=40&md5=f79799cc507be5fb15b185f4a1b67c57",,"Premkumar, E.; Bhargava, P.M.",[No abstract available],,"antibiotic agent; DNA; mitochondrial DNA; phosphorus; protein; ribonuclease; ribosome RNA; RNA; animal; article; biosynthesis; cattle; chromatography; cytology; density gradient centrifugation; DNA template; drug effect; gel chromatography; genetic transcription; isolation and purification; liver; male; metabolism; mitochondrion; nucleic acid hybridization; polyacrylamide gel electrophoresis; RNA translation; spermatozoon; Animal; Antibiotics; Cattle; Centrifugation, Density Gradient; Chromatography; Chromatography, Gel; DNA; DNA, Mitochondrial; Electrophoresis, Polyacrylamide Gel; Liver; Male; Mitochondria; Nucleic Acid Hybridization; Phosphorus Isotopes; Proteins; Ribonucleases; RNA; RNA, Ribosomal; Spermatozoa; Templates, Genetic; Transcription, Genetic; Translation, Genetic",,"DNA, 9007-49-2; phosphorus, 7723-14-0; protein, 67254-75-5; ribonuclease, 59794-03-5, 9001-99-4; RNA, 63231-63-0; Antibiotics; DNA, 9007-49-2; DNA, Mitochondrial; Phosphorus Isotopes; Proteins; Ribonucleases, EC 3.1.-; RNA, 63231-63-0; RNA, Ribosomal",,,,,"Premkumar, E.",,,,,,,,00900028,,,4509027,"English","Nat New Biol",Article,Scopus,2-s2.0-0015528963
"Kumar, B.V., Bhargava, P.M.","Activation of a ribonuclease on dispersion of rat liver to a single cell suspension and incubation of the cells at 37 degrees.",1972,"Journal of Cellular Physiology","80","2",,"175","187",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015407434&partnerID=40&md5=c4f640a7645d8fa98c3872b53b7c550d",,"Kumar, B.V.; Bhargava, P.M.",[No abstract available],,"bacterial RNA; DNA; phosphorus; protein; ribonuclease; ribonucleotide; RNA; serum albumin; silicon dioxide; animal; article; chromatography; cytology; density gradient centrifugation; enzyme activation; enzymology; Escherichia coli; gel chromatography; ion exchange chromatography; isolation and purification; kinetics; liver; metabolism; methylation; rat; temperature; ultracentrifugation; Animal; Centrifugation, Density Gradient; Chromatography; Chromatography, Gel; Chromatography, Ion Exchange; DNA; Enzyme Activation; Escherichia coli; Kinetics; Liver; Methylation; Phosphorus Isotopes; Proteins; Rats; Ribonucleases; Ribonucleotides; RNA; RNA, Bacterial; Serum Albumin; Silicon Dioxide; Temperature; Ultracentrifugation",,"DNA, 9007-49-2; phosphorus, 7723-14-0; protein, 67254-75-5; ribonuclease, 59794-03-5, 9001-99-4; RNA, 63231-63-0; serum albumin, 9048-46-8; silicon dioxide, 10279-57-9, 14464-46-1, 14808-60-7, 15468-32-3, 60676-86-0, 7631-86-9; DNA, 9007-49-2; Phosphorus Isotopes; Proteins; Ribonucleases, EC 3.1.-; Ribonucleotides; RNA, 63231-63-0; RNA, Bacterial; Serum Albumin; Silicon Dioxide, 7631-86-9",,,,,"Kumar, B.V.",,,,,,,,00219541,,,4344773,"English","J Cell Physiol",Article,Scopus,2-s2.0-0015407434
"Hussain, L.F., Gopinath, B., Bhargava, P.M.","Variation with age in dry weight & volume of liver parenchymal cells in the rat.",1972,"Indian Journal of Experimental Biology","10","3",,"172","176",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015337775&partnerID=40&md5=7976cac03481792c093f5be84b634262",,"Hussain, L.F.; Gopinath, B.; Bhargava, P.M.",[No abstract available],,"age; animal; article; biometry; cytology; liver; metabolism; phase contrast microscopy; rat; rat strain; Age Factors; Animal; Biometry; Liver; Microscopy, Interference; Rats; Rats, Inbred Strains",,,,,,,"Hussain, L.F.",,,,,,,,00195189,,,4651238,"English","Indian J Exp Biol",Article,Scopus,2-s2.0-0015337775
"Bhide, S.V., Premkumar, E., Siddiqui, M.A., Bhargava, P.M.","Preliminary observations on the binding of urethane to DNA in various tissues of mice and rats.",1971,"Indian Journal of Cancer","8","3",,"172","175",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015118857&partnerID=40&md5=672918b46421e22d166b7f93f6ca9638",,"Bhide, S.V.; Premkumar, E.; Siddiqui, M.A.; Bhargava, P.M.",[No abstract available],,"DNA; urethan; animal; article; kidney; liver; lung; male; metabolism; mouse; protein binding; rat; rat strain; Animal; DNA; Kidney; Liver; Lung; Male; Mice; Protein Binding; Rats; Rats, Inbred Strains; Urethane",,"DNA, 9007-49-2; urethan, 51-79-6; DNA, 9007-49-2; Urethane, 51-79-6",,,,,"Bhide, S.V.",,,,,,,,0019509X,,,5141721,"English","Indian J Cancer",Article,Scopus,2-s2.0-0015118857
"Thimmappayya, B., Bhargava, P.M.","Characterization of RNA synthesized by adult rabbit kidney in vivo & by the kidney slices in vitro.",1971,"Indian journal of biochemistry","8","2",,"65","71",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015071548&partnerID=40&md5=66264c5d5369c006283b3419b58d3c0e",,"Thimmappayya, B.; Bhargava, P.M.",[No abstract available],,"hydroxyurea; RNA; animal; article; biosynthesis; in vitro study; kidney; metabolism; rabbit; Animal; Hydroxyurea; In Vitro; Kidney; Rabbits; RNA",,"hydroxyurea, 127-07-1; RNA, 63231-63-0; Hydroxyurea, 127-07-1; RNA, 63231-63-0",,,,,"Thimmappayya, B.",,,,,,,,00195081,,,4259433,"English","Indian J Biochem",Article,Scopus,2-s2.0-0015071548
"Bhargava, P.M., Shanmugam, G.","Uptake of nonviral nucleic acids by mammalian cells.",1971,"Progress in nucleic acid research and molecular biology","11",,,"103","192",,41,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0014988196&partnerID=40&md5=f53d38a3c5a0f2c350224ad93e5c2bd5",,"Bhargava, P.M.; Shanmugam, G.",[No abstract available],,"DNA; interferon; phosphate; phosphorus; protein; RNA; thymidine; tritium; absorption; animal; biosynthesis; cattle; cell line; cell membrane permeability; cell nucleus; chromosome aberration; cytoplasm; drug effect; experimental neoplasm; genetic transformation; growth; iatrogenic disease; immunology; memory; metabolism; mitosis; mouse; neoplasm; radiation injury; rat; review; transport at the cellular level; Absorption; Allergy and Immunology; Animal; Biological Transport; Cattle; Cell Line; Cell Membrane Permeability; Cell Nucleus; Chromosome Aberrations; Cytoplasm; DNA; Growth; Interferons; Memory; Mice; Mitosis; Neoplasms; Neoplasms, Experimental; Phosphates; Phosphorus Isotopes; Proteins; Radiation Injuries, Experimental; Rats; RNA; Thymidine; Transformation, Genetic; Tritium",,"DNA, 9007-49-2; phosphate, 14066-19-4, 14265-44-2; phosphorus, 7723-14-0; protein, 67254-75-5; RNA, 63231-63-0; thymidine, 50-89-5; tritium, 10028-17-8; DNA, 9007-49-2; Interferons, 9008-11-1; Phosphates; Phosphorus Isotopes; Proteins; RNA, 63231-63-0; Thymidine, 50-89-5; Tritium, 10028-17-8",,,,,"Bhargava, P.M.",,,,,,,,00796603,,,4934248,"English","Prog Nucleic Acid Res Mol Biol",Review,Scopus,2-s2.0-0014988196
